Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Trae Young,10.5,-115,-112,,,,38.5,-123,-105,3.5,130,-169,3.5,128,-167
Miles Bridges,4.5,103,-133,,,,38.5,-105,-123,7.5,-120,-108,2.5,-105,-123
Cody Martin,3.5,-139,107,,,,17.5,-112,-115,4.5,102,-132,0.5,-227,170
Jalen Johnson,2.5,-185,141,,,,30.5,-105,-123,9.5,-105,-123,0.5,-227,169
Tre Mann,5.5,-135,105,,,,22.5,-114,-114,4.5,-118,-110,1.5,100,-130
Dejounte Murray,6.5,112,-145,,,,33.5,-119,-109,5.5,-112,-115,2.5,134,-175
Brandon Miller,2.5,118,-154,,,,27.5,-114,-114,4.5,103,-133,2.5,-109,-119
Nick Richards,,,,,,,22.5,-125,-103,8.5,-132,102,,,
Saddiq Bey,,,,,,,22.5,-116,-111,6.5,-125,-103,1.5,-145,111
Bruno Fernando,,,,,,,9.5,-112,-115,7.5,-143,110,,,
Bam Adebayo,4.5,-118,-110,,,,38.5,-130,100,11.5,100,-130,,,
Duncan Robinson,3.5,-118,-110,,,,20.5,-125,-103,2.5,-164,126,2.5,-156,120
Tyler Herro,5.5,115,-149,,,,31.5,-115,-112,5.5,115,-149,2.5,-179,136
Caleb Martin,2.5,130,-169,,,,18.5,-149,115,5.5,110,-143,1.5,149,-196
Buddy Hield,4.5,-109,-119,,,,27.5,100,-130,4.5,-135,104,3.5,103,-133
Paul Reed,1.5,-185,142,,,,20.5,-110,-118,9.5,105,-135,0.5,321,-476
Tyrese Maxey,6.5,-137,106,,,,38.5,-111,-116,3.5,102,-132,3.5,120,-156
Kenyon Martin Jr.,,,,,,,17.5,-130,100,5.5,-103,-125,0.5,149,-196
Kelly Oubre Jr.,,,,,,,25.5,-116,-111,5.5,-118,-110,1.5,-128,-101
Franz Wagner,3.5,-167,127,,,,30.5,-114,-114,5.5,110,-143,1.5,-172,133
Jalen Brunson,6.5,-110,-118,,,,38.5,-118,-110,3.5,-119,-109,1.5,-189,143
Paolo Banchero,6.5,-103,-125,,,,33.5,-112,-115,6.5,-116,-111,1.5,136,-179
Jalen Suggs,2.5,130,-169,,,,17.5,-128,-101,3.5,100,-130,1.5,-196,149
Donte DiVincenzo,3.5,104,-135,,,,27.5,-105,-123,4.5,117,-152,3.5,-169,130
Isaiah Hartenstein,2.5,144,-189,,,,19.5,-114,-114,8.5,-130,100,,,
Wendell Carter Jr.,,,,,,,21.5,-103,-125,6.5,-137,106,1.5,152,-200
Precious Achiuwa,,,,,,,21.5,-123,-105,9.5,-110,-118,0.5,112,-145
Cameron Johnson,2.5,-108,-120,,,,19.5,106,-137,4.5,115,-149,2.5,107,-139
Derrick White,3.5,-167,127,,,,23.5,-103,-125,3.5,-137,106,2.5,-111,-116
Jaylen Brown,3.5,-147,114,,,,31.5,-112,-115,6.5,118,-154,1.5,-149,115
Kristaps Porzingis,2.5,146,-192,,,,30.5,-108,-120,7.5,-109,-119,1.5,-154,119
Mikal Bridges,3.5,104,-135,,,,30.5,-110,-118,4.5,-114,-114,2.5,-145,112
Jrue Holiday,5.5,-101,-128,,,,24.5,-118,-110,5.5,113,-147,1.5,-179,136
Jayson Tatum,5.5,120,-156,,,,43.5,-103,-125,9.5,-118,-110,3.5,117,-152
Cameron Thomas,3.5,-102,-127,,,,28.5,-118,-110,3.5,113,-147,2.5,146,-192
Nicolas Claxton,,,,,,,23.5,-112,-115,10.5,103,-133,,,
Coby White,5.5,-114,-114,,,,29.5,-115,-112,3.5,-152,117,2.5,-141,108
Nikola Vucevic,2.5,-164,125,,,,30.5,-118,-110,9.5,-143,110,1.5,155,-204
Darius Garland,6.5,110,-143,,,,25.5,-108,-120,2.5,115,-149,1.5,-182,139
Jarrett Allen,2.5,106,-137,,,,32.5,-105,-123,11.5,-128,-101,,,
DeMar DeRozan,4.5,-116,-111,,,,30.5,-130,100,3.5,-119,-109,0.5,-152,117
Evan Mobley,2.5,-118,-110,,,,26.5,-130,100,9.5,-120,-108,0.5,124,-161
Alex Caruso,3.5,130,-169,,,,14.5,-143,110,3.5,-109,-119,1.5,139,-182
Ayo Dosunmu,3.5,122,-159,,,,18.5,-115,-112,2.5,107,-139,1.5,-123,-104
Max Strus,3.5,100,-130,,,,16.5,-123,-105,4.5,126,-164,1.5,-185,140
Donovan Mitchell,6.5,-143,110,,,,39.5,-130,100,4.5,-133,103,3.5,-141,108
Jakob Poeltl,2.5,128,-167,,,,24.5,-103,-125,8.5,-135,104,,,
Scottie Barnes,7.5,120,-156,,,,37.5,100,-130,7.5,-109,-119,1.5,158,-208
Tyrese Haliburton,11.5,-143,110,,,,38.5,-115,-112,3.5,-154,118,3.5,130,-169
RJ Barrett,3.5,-109,-119,,,,30.5,-132,102,6.5,102,-132,1.5,164,-217
Immanuel Quickley,5.5,-118,-110,,,,28.5,-105,-123,3.5,-115,-112,2.5,103,-133
Myles Turner,,,,,,,27.5,-105,-123,7.5,104,-135,1.5,-105,-123
Gary Trent Jr.,,,,,,,14.5,-116,-111,2.5,130,-169,1.5,-154,119
Aaron Nesmith,,,,,,,21.5,-116,-111,4.5,-159,122,2.5,132,-172
Jaren Jackson Jr.,2.5,-167,127,,,,34.5,-118,-110,5.5,-103,-125,2.5,136,-179
John Konchar,2.5,113,-147,,,,12.5,-130,100,5.5,104,-135,0.5,-139,107
Santi Aldama,2.5,-109,-119,,,,21.5,-102,-127,5.5,-139,107,2.5,146,-192
Alperen Sengun,5.5,103,-133,,,,36.5,-110,-118,9.5,-122,-106,0.5,158,-208
Jalen Green,3.5,-135,104,,,,28.5,-130,100,4.5,-149,115,1.5,-182,139
Vince Williams,4.5,-118,-110,,,,24.5,-112,-115,5.5,-147,114,1.5,-135,105
Amen Thompson,4.5,-118,-110,,,,25.5,-105,-123,9.5,100,-130,0.5,246,-345
Jabari Smith,,,,,,,25.5,-103,-125,8.5,-128,-101,1.5,-147,114
Dillon Brooks,,,,,,,21.5,-111,-116,3.5,-122,-106,2.5,128,-167
Zion Williamson,4.5,-147,114,,,,35.5,-109,-119,5.5,-149,115,,,
Brandon Ingram,6.5,-125,-103,,,,36.5,-115,-112,5.5,-122,-106,1.5,122,-159
Kyle Kuzma,3.5,107,-139,,,,29.5,-118,-110,6.5,106,-137,2.5,144,-189
Herbert Jones,2.5,107,-139,,,,18.5,-122,-106,4.5,120,-156,1.5,-118,-110
CJ McCollum,4.5,107,-139,,,,27.5,-116,-111,4.5,106,-137,3.5,128,-167
Josh Green,2.5,-116,-111,,,,16.5,-111,-116,3.5,-130,100,1.5,126,-164
Tre Jones,7.5,110,-143,,,,21.5,-110,-118,3.5,122,-159,0.5,-118,-110
Jeremy Sochan,2.5,102,-132,,,,20.5,-112,-115,5.5,-120,-108,0.5,-200,151
Devin Vassell,4.5,134,-175,,,,27.5,-115,-112,3.5,-128,-101,2.5,103,-133
Kyrie Irving,5.5,-152,116,,,,37.5,-114,-114,5.5,106,-137,2.5,-132,102
Victor Wembanyama,3.5,115,-149,,,,36.5,-112,-115,10.5,-101,-128,1.5,-122,-106
Luka Doncic,10.5,112,-145,,,,51.5,-118,-110,9.5,-105,-123,3.5,-112,-115
Julian Champagnie,,,,,,,8.5,-130,100,2.5,-119,-109,0.5,-204,155
Domantas Sabonis,8.5,100,-130,,,,41.5,-109,-119,13.5,-103,-125,0.5,120,-156
Malik Monk,4.5,-130,100,,,,26.5,-112,-115,3.5,110,-143,2.5,110,-143
De'Aaron Fox,4.5,-145,112,,,,33.5,-111,-116,3.5,-118,-110,2.5,-101,-128
Keegan Murray,,,,,,,18.5,-116,-111,4.5,-118,-110,1.5,-122,-106
Harrison Barnes,,,,,,,15.5,-109,-119,2.5,-139,107,1.5,-111,-116
Nikola Jokic,,,,,,,49.5,-122,-106,,,,,,
Kevin Huerter,,,,,,,14.5,-123,-104,2.5,-164,125,1.5,-135,105
Kevin Durant,4.5,-147,114,,,,39.5,-106,-122,6.5,107,-139,2.5,110,-143
Devin Booker,6.5,-116,-111,,,,36.5,-120,-108,3.5,104,-135,2.5,132,-172
Cade Cunningham,7.5,-127,-102,,,,30.5,-123,-104,3.5,-132,102,1.5,136,-179
Jalen Duren,,,,,,,14.5,-119,-109,12.5,-143,110,,,
Anthony Davis Jr.,4.5,124,-169,,,,43.5,-109,-119,12.5,-108,-120,0.5,112,-145
Jordan Clarkson,3.5,-152,117,,,,24.5,-112,-115,3.5,110,-143,1.5,-192,145
Collin Sexton,5.5,-143,110,,,,28.5,-106,-122,2.5,-152,117,1.5,-128,-101
D'Angelo Russell,6.5,109,-141,,,,30.5,-118,-110,2.5,-141,108,3.5,110,-143
Walker Kessler,,,,,,,20.5,-112,-115,8.5,-128,-101,,,
Lauri Markkanen,,,,,,,34.5,-122,-106,8.5,-139,107,3.5,134,-175
Taurean Prince,,,,,,,15.5,-115,-112,3.5,-101,-128,2.5,144,-189
John Collins,,,,,,,25.5,-112,-115,8.5,-119,-109,0.5,-233,174
Paul George,3.5,-116,-111,,,,34.5,-114,-114,5.5,-108,-120,3.5,-125,-103
James Harden,8.5,-132,102,,,,35.5,-116,-111,5.5,-128,-101,3.5,128,-167
Draymond Green,6.5,-125,-103,,,,22.5,-111,-116,6.5,-137,106,0.5,-118,-110
Stephen Curry,5.5,-152,116,,,,38.5,-110,-118,4.5,107,-139,5.5,100,-130
Russell Westbrook,4.5,-137,106,,,,24.5,-106,-122,5.5,109,-141,,,
Jonathan Kuminga,2.5,112,-145,,,,27.5,-114,-114,5.5,110,-143,0.5,-130,101
Klay Thompson,2.5,130,-169,,,,20.5,-118,-110,2.5,-156,121,2.5,-143,110
Terance Mann,,,,,,,13.5,102,-132,3.5,112,-145,0.5,-161,124
Ivica Zubac,,,,,,,19.5,-125,-103,8.5,-109,-119,,,
Amir Coffey,,,,,,,9.5,-102,-127,2.5,110,-143,1.5,100,-130
Norman Powell,,,,,,,14.5,-114,-114,,,,2.5,155,-204
Andrew Wiggins,,,,,,,18.5,-108,-120,4.5,110,-143,1.5,182,-244
