Name,Turnovers_Line,Blocks_Line,Assists_Line,Threes_Line,PointsAssists_Line,BlocksSteals_Line,Steals_Line,PointsReboundsAssists_Line,ReboundsAssists_Line,Rebounds_Line,Points_Line,PointsRebounds_Line
Jayson Tatum,,,,,34.5,,,43.5,,9.5,28.5,38.5
Jaylen Brown,,,,1.5,24.5,,,30.5,9.5,6.0,,26.5
Derrick White,,,4.0,2.5,19.5,,,22.5,7.5,3.5,,18.5
Nic Claxton,,,,,,,,24.5,12.5,10.5,12.5,
Mikal Bridges,,,,3.0,25.5,,,30.5,7.5,,,26.5
Kristaps Porzingis,,,,1.5,22.5,,,29.5,9.0,7.0,,27.5
Jrue Holiday,,,,1.5,18.5,,,22.5,9.5,4.5,,17.5
Ben Simmons,,,5.0,,,,,,11.5,6.5,,
Cam Thomas,,,,,25.5,,,29.5,6.5,3.5,,26.5
Dorian Finney-Smith,,,,,,,,12.5,,3.5,,
Shai Gilgeous-Alexander,3.0,,6.5,,38.5,2.5,1.5,43.5,12.0,5.0,31.5,36.5
Chet Holmgren,1.5,2.5,,1.5,17.5,,,24.5,9.5,7.0,15.5,22.5
Jalen Williams,,,,,23.5,,,27.5,,4.0,,22.5
Jalen Suggs,,,,,,,,16.5,,3.5,,
Paolo Banchero,,,,1.5,28.5,,,35.5,13.0,7.0,22.5,29.5
Franz Wagner,,0.5s,4.0,2.0,25.5,1.5s,,31.5,9.5,5.5,,27.5
Wendell Carter Jr.,,0.5,,1.5s,,1.5s,,19.5,8.5,,10.5,18.5
Josh Giddey,,,,,,,,20.5,9.5,6.0,,16.5
Markelle Fultz,,0.5s,,0.5s,,1.5s,,14.5,6.0,3.0,,
Luguentz Dort,,0.5s,,1.5,,,,14.5,,,,
Giannis Antetokounmpo,,,6.5,0.5s,36.5,,,47.5,18.5,11.5,,41.5
Damian Lillard,,,6.5,3.5s,31.5,,,34.5,10.5,3.5,,28.5
Bam Adebayo,,,4.5,,28.5,,,,15.5,10.5,,34.5
Brook Lopez,,,,,13.5,,,19.5,8.0,5.5,,17.5
Tyler Herro,,,5.5,,29.5,,,34.5,11.0,5.0,,29.5
Jaime Jaquez Jr.,,,,,16.5,,,20.5,7.5,4.0,,17.5
Caleb Martin,,,,,15.5,,,20.5,8.0,5.0,,17.5
Jae Crowder,,,,1.5,,,,13.5,6.0,4.0,,
Malik Beasley,,,,,12.5,,,16.5,4.5,3.5,,
Kevin Durant,,,5.0,,31.5,,,38.5,12.5,7.0,26.5,33.5
Devin Booker,,,6.0,,35.5,,,40.5,10.5,4.5,,34.5
De'Aaron Fox,,,,2.5,28.5,,,32.5,8.5,3.5,,27.5
Domantas Sabonis,,,9.0,0.5,28.5,,,42.5,22.5,13.5,,33.5
Bradley Beal,,,5.0,,24.5,,,29.5,10.0,4.5,,24.5
Keegan Murray,,,,,,,,20.5,,5.0,,
Jusuf Nurkic,,,,0.5s,15.5,,,26.5,13.5,10.5,11.5,22.5
Harrison Barnes,,,,,,,,16.5,,2.5,,15.5
Kevin Huerter,,,,,,,,15.5,,3.0,,
Grayson Allen,,,,2.0,,,,17.5,6.5,3.5,,
Anthony Edwards,,,5.5,3.0,31.5,,,36.5,10.5,5.0,,30.5
Karl-Anthony Towns,,,2.5,2.5,25.5,,,32.5,9.5,7.0,22.5,29.5
Jerami Grant,,,3.0,,24.5,,,28.5,7.0,3.5,,25.5
Anfernee Simons,,,6.0,3.0,27.5,,,31.5,8.5,,,24.5
Rudy Gobert,,,,,15.5,,,27.5,13.5,12.5,,26.5
Deandre Ayton,,,,,14.5,,,23.5,10.5,9.0,13.5,22.5
Mike Conley,,,6.5,,16.5,,,18.5,9.0,,,11.5
LeBron James,,,8.0,,32.5,,,39.5,14.5,6.5,24.5,31.5
Anthony Davis,,,3.5,0.5s,28.5,,,39.5,15.0,11.5,,36.5
Cade Cunningham,,,7.5,1.5,30.5,,,34.5,11.5,3.5,22.5,26.5
Austin Reaves,,,6.0,,22.5,,,25.5,9.0,3.0,,19.5
Jaden Ivey,,,4.0,,26.5,,,30.5,8.0,,,25.5
D'Angelo Russell,,,5.0,,24.5,,,27.5,7.5,2.5,,22.5
Jalen Duren,,,,,17.5,,,29.5,14.0,11.5,,27.5
