Name,PointsH,PointsL,PointsC,ShotsH,ShotsL,ShotsC,BlockedShotsH,BlockedShotsL,BlockedShotsC,GoalsH,GoalsL,GoalsC,AssistsH,AssistsL,AssistsC,PowerPlayPointsH,PowerPlayPointsL,PowerPlayPointsC,FantasyH,FantasyL,FantasyC,SavesH,SavesL,SavesC,GoalsAgainstH,GoalsAgainstL,GoalsAgainstC
Karel Vejmelka,,,,,,,,,,,,,,,,,,,,,9.05x1,,,29.5x1,,,3.5x1
Clayton Keller,0.5x0.8,0.5sx1.25,,,,2.5x1,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx1.75,0.5x0.65,,,,6.55x1,,,,0.5sx1.5,0.5x0.7,
Nathan MacKinnon,1.5x0.9,1.5x1,,,,4.5x1,,,,,,,,,,,,0.5x1,,,12.05x1,,,,,,0.5x1
Mikko Rantanen,,,1.5x1,3.5x0.85,3.5sx1.1,,,,,,,,0.5x0.85,0.5sx1.2,,0.5sx1.1,0.5x0.85,,,,10.05x1,,,,,,0.5x1
Barrett Hayton,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3,,
Cale Makar,1.5sx1.25,1.5x0.75,,3.5sx1.1,3.5x0.85,,,,1.5x1,,,,0.5x0.8,0.5sx1.25,,0.5sx1.25,0.5x0.8,,,,9.05x1,,,,0.5sx2,0.5x0.65,
Jason Zucker,,,,,,2.0x1,,,,,,,,,,0.5sx3.75,,,,,,,,,0.5sx2.75,,
Lawson Crouse,0.5sx1.2,0.5x0.8,,,,,,,,,,,0.5sx2,,,,,,,,5.55x1,,,,0.5sx2,,
Artturi Lehkonen,0.5x0.85,0.5sx1.1,,2.5sx1.1,2.5x0.9,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx1.75,0.5x0.65,,,,7.05x1,,,,0.5sx1.5,0.5x0.7,
Bowen Byram,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Devon Toews,0.5sx1.1,0.5x0.85,,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx4.25,,,,,,,,,0.5sx4.25,,
Nick Schmaltz,,,0.5x1,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.25,,,,,,,,,0.5sx2,0.5x0.65,
Matias Maccelli,0.5sx1.1,0.5x0.85,,,,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4,,,,,,,,,0.5sx2.75,,
Nick Bjugstad,0.5sx1.2,0.5x0.8,,1.5x0.85,1.5sx1.1,,,,,,,,0.5sx1.75,0.5x0.65,,,,,,,,,,,0.5sx2.75,,
Ross Colton,0.5sx1.2,0.5x0.85,,2.5sx1.25,2.5x0.8,,,,,,,,0.5sx2,0.5x0.65,,,,,,,,,,,0.5sx2,,
Sean Durzi,0.5sx1.2,0.5x0.8,,1.5x0.85,1.5sx1.1,,2.5sx1.2,2.5x0.8,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.75,,,,,6.05x1,,,,0.5sx5,,
Jonathan Drouin,0.5x0.85,0.5sx1.1,,,,,,,,,,,0.5sx1.2,0.5x0.85,,0.5sx2,0.5x0.65,,,,,,,,0.5sx2,0.5x0.65,
Zach Parise,,,,1.5x0.85,1.5sx1.1,,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Andrew Cogliano,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Ryan Johansen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Miles Wood,,,,2.5sx1.1,2.5x0.9,,,,,,,,,,,,,,,,,,,,0.5sx2.5,,
Samuel Girard,,,,,,,,,1.5x1,,,,,,,,,,,,,,,,0.5sx6,,
Alexander Kerfoot,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Jack McBain,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Fredrik Olofsson,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Adam Ruzicka,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.5,,
Joel Kiviranta,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.75,,
Dylan Guenther,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx2.25,,
Logan Cooley,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Tristan Jarry,,,,,,,,,,,,,,,,,,,,,,,,26.5x1,,,2.5x1
Sidney Crosby,1.5sx1.5,1.5x0.7,,3.5sx1.1,3.5x0.85,,,,,,,,,,0.5x1,0.5sx1.5,0.5x0.7,,,,9.05x1,,,,0.5sx1.25,0.5x0.8,
Kevin Fiala,0.5x0.85,0.5sx1.1,,2.5sx1.1,2.5x0.85,,,,,,,,0.5sx1.1,0.5x0.85,,0.5sx2,0.5x0.65,,,,6.55x1,,,,0.5sx1.75,0.5x0.65,
Adrian Kempe,0.5x0.9,0.5x1,,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.25,,,,,,,,,0.5sx1.75,0.5x0.65,
Evgeni Malkin,0.5x0.85,0.5sx1.1,,,,2.5x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2,0.5x0.65,,,,6.55x1,,,,0.5sx1.75,0.5x0.65,
Pierre-Luc Dubois,0.5sx1.25,0.5x0.8,,,,2.0x1,,,,,,,0.5sx2,0.5x0.65,,0.5sx4.5,,,,,,,,,0.5sx2.25,,
Anze Kopitar,,,0.5x1,,,,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.5,,,,,5.05x1,,,,0.5sx2.25,,
Erik Karlsson,0.5x0.85,0.5sx1.1,,2.5sx1.1,2.5x0.85,,,,,,,,,,0.5x1,0.5sx1.75,0.5x0.65,,,,6.55x1,,,,0.5sx3.5,,
Rickard Rakell,0.5sx1.1,0.5x0.85,,2.5sx1.2,2.5x0.8,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx3,,,,,,,,,0.5sx2.25,,
Viktor Arvidsson,,,0.5x1,,,3.0x1,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,,,,,0.5sx1.75,0.5x0.65,
Kris Letang,0.5sx1.1,0.5x0.9,,,,2.0x1,,,,,,,0.5sx1.25,0.5x0.8,,0.5sx2.75,,,,,7.05x1,,,,0.5sx4.25,,
Phillip Danault,0.5sx1.1,0.5x0.9,,,,1.5x1,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4.5,,,,,,,,,0.5sx2.5,,
Drew Doughty,0.5sx1.1,0.5x0.85,,,,,1.5x0.8,1.5sx1.2,,,,,0.5sx1.25,0.5x0.75,,0.5sx2.5,,,,,6.55x1,,,,0.5sx4,,
Bryan Rust,,,,,,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx2.5,,,,,7.05x1,,,,0.5sx1.5,0.5x0.7,
Trevor Moore,,,0.5x1,2.5x0.85,2.5sx1.1,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4.25,,,,,6.55x1,,,,0.5sx1.75,0.5x0.65,
Reilly Smith,0.5sx1.1,0.5x0.85,,2.5sx1.25,,,,,,,,,0.5sx1.5,0.5x0.7,,0.5sx4,,,,,,,,,0.5sx2.25,,
Quinton Byfield,,,0.5x1,2.5sx1.25,,,,,,,,,0.5sx1.25,0.5x0.75,,0.5sx3,,,,,,,,,0.5sx2,0.5x0.65,
Jeff Carter,,,,,,,,,,,,,,,,0.5sx5,,,,,,,,,0.5sx3.25,,
Jesse Puljujarvi,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.25,,
Drew O'Connor,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx3.5,,
Alex Laferriere,,,,1.5x0.8,1.5sx1.2,,,,,,,,,,,,,,,,,,,,0.5sx3.25,,
Valtteri Puustinen,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx4.75,,
Jaret Anderson-Dolan,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx6,,
Alex Turcotte,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx6,,
Trevor Lewis,,,,,,,,,,,,,,,,,,,,,,,,,0.5sx5.25,,
Lars Eller,,,,,,2.0x1,,,,,,,,,,0.5sx4,,,,,,,,,0.5sx2.75,,
Matt Roy,,,,,,,2.5sx1.2,2.5x0.8,,,,,,,,,,,,,,,,,,,
Marcus Pettersson,,,,,,,1.5x0.8,1.5sx1.2,,,,,,,,,,,,,,,,,,,
Ryan Graves,,,,,,,,,2.0x1,,,,,,,,,,,,,,,,,,
